                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4604,                 2.0983,                 1.2867,                0.87985,                0.78188,                0.84434,                0.53509,                 1.2561,                 1.4041,                 1.2522,              0.0006615,              0.0006615,              0.0006615
                      2,                 1.4433,                 1.4152,                 1.3103,                0.89271,                0.77823,                0.84981,                0.52876,                 1.3616,                 1.0234,                 1.3743,               0.001315,               0.001315,               0.001315
                      3,                 1.4283,                 1.1736,                 1.3185,                0.65308,                0.36448,                0.40199,                0.17492,                 2.0025,                 2.1854,                 1.8474,              0.0019553,              0.0019553,              0.0019553
                      4,                 1.4323,                 1.1165,                 1.3107,                0.92726,                0.80082,                0.88088,                0.58676,                 1.2227,                0.78441,                 1.3256,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3765,                 0.9912,                 1.2923,                0.91538,                0.76636,                 0.8582,                0.54334,                 1.2644,                0.79293,                 1.3479,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3535,                0.93609,                 1.2712,                0.94904,                0.79466,                0.87574,                0.57787,                  1.207,                0.74321,                  1.295,               0.001901,               0.001901,               0.001901
                      7,                 1.3373,                0.91516,                 1.2538,                0.88676,                0.67864,                0.78617,                0.48948,                 1.3539,                0.98166,                 1.4209,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3175,                0.88361,                 1.2541,                0.95237,                0.82116,                0.87935,                0.56069,                 1.3245,                0.69028,                 1.3873,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2878,                0.85763,                 1.2283,                0.93794,                0.82649,                 0.8825,                0.57676,                 1.2596,                0.74737,                 1.3599,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2796,                 0.8161,                 1.2256,                 0.9493,                0.80743,                0.88455,                0.58911,                 1.2105,                 0.6869,                  1.318,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2618,                0.78373,                 1.2121,                0.95439,                0.79671,                0.85419,                0.55466,                 1.3183,                0.77022,                 1.3897,               0.001802,               0.001802,               0.001802
                     12,                 1.2747,                0.78295,                 1.2276,                0.94023,                0.83983,                0.89198,                0.63081,                 1.0879,                0.58986,                 1.2364,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2683,                0.78124,                 1.2274,                0.94505,                0.81828,                0.88502,                0.61581,                 1.1252,                0.60766,                 1.2496,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2386,                0.75145,                 1.2067,                0.96518,                 0.8306,                0.89651,                0.62677,                 1.0692,                0.56213,                 1.2144,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2482,                0.74859,                 1.2012,                0.91456,                0.79671,                0.85734,                0.58047,                 1.1287,                0.74284,                 1.2273,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.245,                0.75601,                 1.2046,                0.97439,                0.81109,                0.88422,                0.59853,                 1.1707,                0.59871,                 1.2805,               0.001703,               0.001703,               0.001703
                     17,                 1.2263,                0.71863,                 1.1949,                0.95746,                0.85492,                0.89991,                0.63295,                 1.0958,                0.55057,                 1.2394,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.216,                0.71264,                 1.1946,                 0.9424,                0.85673,                0.89363,                0.60493,                 1.1549,                0.57809,                 1.2868,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2224,                0.69936,                 1.1831,                0.95006,                0.83995,                0.89795,                0.64573,                 1.0531,                0.55013,                 1.2083,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1986,                0.71035,                 1.1797,                0.96191,                0.85626,                0.89648,                0.63668,                 1.0621,                0.54536,                 1.2052,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1804,                0.68424,                 1.1732,                0.95586,                0.84487,                0.89876,                 0.6192,                 1.1574,                0.55935,                 1.2823,               0.001604,               0.001604,               0.001604
                     22,                 1.1597,                0.67783,                 1.1547,                0.97209,                0.85813,                0.90561,                0.64564,                 1.0697,                0.52924,                 1.2159,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.161,                  0.675,                 1.1645,                0.96021,                0.86706,                0.90593,                0.63941,                 1.0965,                0.53961,                  1.227,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1785,                0.68465,                 1.1475,                 0.9544,                0.85318,                 0.8947,                0.63426,                 1.0714,                 0.5562,                 1.2048,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1937,                0.68612,                 1.1751,                0.98318,                0.84043,                0.90175,                0.63973,                 1.0696,                0.51912,                 1.2198,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1588,                0.65263,                 1.1543,                0.97317,                 0.8614,                 0.9045,                0.64764,                 1.0504,                 0.5033,                 1.2051,               0.001505,               0.001505,               0.001505
                     27,                 1.1727,                0.66659,                 1.1659,                0.97002,                0.86375,                0.90519,                0.65444,                  1.036,                0.49709,                 1.1767,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1555,                  0.645,                 1.1488,                0.95873,                0.85853,                0.90181,                0.65566,                 1.0561,                0.49759,                 1.1949,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1484,                0.64435,                 1.1558,                0.97029,                0.85729,                0.90749,                0.65737,                 1.0572,                0.49557,                 1.1991,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1548,                0.65529,                  1.151,                0.97688,                 0.8676,                0.91673,                0.66839,                 1.0486,                0.48209,                 1.1902,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1508,                0.63663,                 1.1564,                0.98016,                0.85832,                0.90383,                0.64491,                 1.0606,                0.49407,                 1.2111,               0.001406,               0.001406,               0.001406
                     32,                 1.1254,                0.62063,                 1.1411,                0.95761,                0.85818,                0.90169,                0.64869,                 1.0595,                0.49162,                 1.1942,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1427,                0.63189,                  1.155,                0.98141,                0.84292,                0.90821,                0.64267,                 1.0908,                0.52309,                 1.2124,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.114,                0.61521,                 1.1251,                0.98493,                0.84702,                0.90946,                0.66173,                 1.0314,                0.47659,                 1.1775,              0.0013466,              0.0013466,              0.0013466
